Proj_No,Name,Group,Marker Icon,Marker Color,Icon Color,Custom Size,Image,Description,Location,Latitude,Longitude,Found,Quality,Source,Popup Narrative,More_URL,STATUS,DOTD_no,ProjectName,Project Type,Topographical Survey,SUE,Geotechnical,Preliminary Design,Final Design,ROW Maps,ROW Parcels Acquisition,Utility Relocations,Advertized for Letting,Current Stage,Comments,Project Length,Designer,Design Cost,Design Completed,Contractor,Estimated Construction Cost,Construction Start Date,Expected Duration,Construction Complete
ENG-12-025,Roundabout: Churchpoint @ Roddy Road,Roundabouts,flip_camera_android,black,white,,https://moveascension.firebaseapp.com/img/projects/eng-12-025/Roddy-Church_Point-roundabout-Fenstermaker-tn.jpg,"Roundabout at Churchpoint/Roddy <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/eng-12-025/"" target=""_blank"">More...</a></div>",,30.24012319,-90.90391177,,,shapefile,Roundabout at Churchpoint/Roddy,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/eng-12-025/"" target=""_blank"">More...</a></div>",Pre-Construction : Ongoing,,Roddy Rd @ Churchpoint Roundabout,Roundabout,100%,100%,100%,100%,98%,100%,3/4,0/7,,Final Design,Tied to DOTD reviews - $1M in Safety funds,1.5 miles,Fenstermaker,"$90,700",6/29/2018,,,,,
ENG-17-014,Bridge Replacement: Babin Road,New Bridge,star,red,white,,https://moveascension.firebaseapp.com/img/projects/eng-17-014/eng-17-014-tn.jpg,"Replace the bridge over Bayou Narcisse on Babin Road. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/eng-17-014/"" target=""_blank"">More...</a></div>",,30.26219557,-90.9398932,,,shapefile,Replace the bridge over Bayou Narcisse on Babin Road.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/eng-17-014/"" target=""_blank"">More...</a></div>",Completed,H.011540,Babin Rd bridge over Bayou Narcisse,New Bridge,100%,100%,100%,100%,100%,100%,5/5,4/4,2/11/2019,Bridges & Drainage,"Construction NTP - July 21, 2019",,T. Baker Smith,,,Merrick Construction,,8/19/2019,,2020
MA-17-03,Roundabout: Parker Road @ Parish Road 929,Roundabouts,flip_camera_android,black,white,,https://moveascension.firebaseapp.com/img/projects/ma-17-03/Parker-at-929-RAB-Conceptual-Layout-tn.jpg,"Converting a 4-way stop-controlled intersection at Parish Road 929 and Parker Road to one with a Roundabout to improve traffic flow through the intersection. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-03/"" target=""_blank"">More...</a></div>",,30.31371017,-90.93907294,,,shapefile,Converting a 4-way stop-controlled intersection at Parish Road 929 and Parker Road to one with a Roundabout to improve traffic flow through the intersection.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-03/"" target=""_blank"">More...</a></div>",Pre-Construction : Ongoing,,PR 929/Parker Roundabout,Roundabout,100%,100%,100%,100%,75%,40%,0/6,0/7,,Final Design,Tied to DOTD reviews - $1M in Safety funds,1.5 miles,"Buchart Horn
","$456,495",,,,,,
MA-17-04a,Hwy 932 @ Merrit Evans / Devall Rd,Intersection Improvement,open_with,blue,white,,https://moveascension.firebaseapp.com/img/projects/ma-17-04/aerial-ma-17-04a-zoom.jpg,"Intersection adjustments on Joe Sevario Rd. to improve turn radii and sight distances for better operational flow. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-04/"" target=""_blank"">More...</a></div>",,30.299021,-90.904753,,,manual,Intersection adjustments on Joe Sevario Rd. to improve turn radii and sight distances for better operational flow.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-04/"" target=""_blank"">More...</a></div>",Pre-Construction : Ongoing,,Joe Sevario (932) at Merrit Evans / Devall,Intersection Improvements,100%,100%,100%,100%,100%,100%,4/4,0/4,,Final Design,,,SJB Group,"$32,810",8/9/19,,,,,
MA-17-04b,Hwy 932 @ Norwood Rd,Intersection Improvement,open_with,blue,white,,https://moveascension.firebaseapp.com/img/projects/ma-17-04/aerial-ma-17-04b-zoom.jpg,"Intersection adjustments on Joe Sevario Rd. to improve turn radii and sight distances for better operational flow. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-04/"" target=""_blank"">More...</a></div>",,30.291653,-90.904638,,,manual,Intersection adjustments on Joe Sevario Rd. to improve turn radii and sight distances for better operational flow.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-04/"" target=""_blank"">More...</a></div>",Pre-Construction : Ongoing,,Joe Sevario (932) at Norwood,Intersection Improvements,100%,100%,100%,100%,100%,100%,2/2,0/4,,Final Design,,,SJB Group,"$32,810",8/9/19,,,,,
MA-17-07,Turn Lane Analysis: Old Jefferson @ Oakland,Turn Lanes,directions,#BA68C8,white,,https://moveascension.firebaseapp.com/img/banners/ma-17-07.png,"This project involves traffic analyses for intersection improvements and determination of the most appropriate operational project scope (turn lanes, signalization, roundabouts, etc) at the following location: LA 73 @ Oakland Dr <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-07/"" target=""_blank"">More...</a></div>",,,,,,shapefile,"This project involves traffic analyses for intersection improvements and determination of the most appropriate operational project scope (turn lanes, signalization, roundabouts, etc) at the following location: LA 73 @ Oakland Dr","<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-07/"" target=""_blank"">More...</a></div>",Planning,,LA Hwy 73 Intersection Analysis,Turn Lanes,,,,,,,N/A,N/A,N/A,Completed,(Old Jefferson Hwy),,Neel Schaffer,"$117,261",,,,N/A,,
MA-17-07,Turn Lane Analysis: Old Jefferson @ Brown,Turn Lanes,directions,#BA68C8,white,,https://moveascension.firebaseapp.com/img/banners/ma-17-07.png,"This project involves traffic analyses for intersection improvements and determination of the most appropriate operational project scope (turn lanes, signalization, roundabouts, etc) at the following location: LA 73 @ Brown Rd <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-07/"" target=""_blank"">More...</a></div>",,,,,,shapefile,"This project involves traffic analyses for intersection improvements and determination of the most appropriate operational project scope (turn lanes, signalization, roundabouts, etc) at the following location: LA 73 @ Brown Rd","<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-07/"" target=""_blank"">More...</a></div>",Completed,,LA Hwy 73 Intersection Analysis,Turn Lanes,,,,,,,N/A,N/A,N/A,Completed,(Old Jefferson Hwy),,Neel Schaffer,"$117,261",,,,N/A,,
MA-17-07,"Turn Lane Analysis: Old Jefferson @ Henry, Brown & Oakland",Turn Lanes,directions,#BA68C8,white,,https://moveascension.firebaseapp.com/img/banners/ma-17-07.png,"This project involves traffic analyses for intersection improvements and determination of the most appropriate operational project scope (turn lanes, signalization, roundabouts, etc) at the following location: LA 73 @ Henry Rd <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-07/"" target=""_blank"">More...</a></div>",,30.331988,-90.980939,,,shapefile,"This project involves traffic analyses for intersection improvements and determination of the most appropriate operational project scope (turn lanes, signalization, roundabouts, etc) at the following location: LA 73 @ Henry Rd","<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-07/"" target=""_blank"">More...</a></div>",Completed,,LA Hwy 73 Intersection Analysis,Turn Lanes,,,,,,,N/A,N/A,N/A,Completed,(Old Jefferson Hwy),,Neel Schaffer,"$117,261",,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.21169549,-90.88157654,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.22889139,-90.90396462,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.23304534,-90.90881126,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.23645844,-90.91194553,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.24007285,-90.91522874,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.24631744,-90.92084915,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.24974822,-90.92397293,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.25706898,-90.93060621,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.26211823,-90.93519188,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.26945947,-90.94179246,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.28396809,-90.95495036,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
MA-17-08,Airline Hwy Signal Synchronization,Signalization,markers/traffic-signal-32.png,,,,https://moveascension.firebaseapp.com/img/banners/ma-17-08.png,"Sync of signals at 19 intersections along Airline Highway has been completed. <br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",,30.29843201,-90.96803512,,,shapefile,Sync of signals at 19 intersections along Airline Highway has been completed.,"<br><div style=""text-align:right""><a href=""https://moveascension.firebaseapp.com/projects/ma-17-08/"" target=""_blank"">More...</a></div>",Completed,,US 61 Signal Timing,Signalization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Completed,100% Complete,,Neel Schaffer,"$64,652",10/2017,,,N/A,,
